127.0.0.1 - - [10/May/2023:17:08:56 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/May/2023:17:08:56 +0530] "GET /web_app_1/NewFile.html HTTP/1.1" 200 890
0:0:0:0:0:0:0:1 - - [10/May/2023:17:08:57 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/May/2023:17:10:26 +0530] "GET /web_app_1/NewFile.html HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [10/May/2023:17:11:35 +0530] "GET /web_app_1/NewFile.html HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [10/May/2023:17:12:20 +0530] "GET /web_app_1/NewFile.html HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [10/May/2023:17:14:11 +0530] "GET /web_app_1/NewFile.html HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [10/May/2023:17:14:39 +0530] "GET /web_app_1/NewFile.html HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [10/May/2023:17:15:05 +0530] "GET /web_app_1/NewFile.html HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [10/May/2023:17:15:36 +0530] "GET /web_app_1/NewFile.html HTTP/1.1" 200 1353
0:0:0:0:0:0:0:1 - - [10/May/2023:17:16:36 +0530] "GET /web_app_1/NewFile.html HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [10/May/2023:17:19:11 +0530] "GET /web_app_1/first.html HTTP/1.1" 200 990
0:0:0:0:0:0:0:1 - - [10/May/2023:17:19:41 +0530] "GET /web_app_1/first.html HTTP/1.1" 200 992
0:0:0:0:0:0:0:1 - - [10/May/2023:17:20:16 +0530] "GET /web_app_1/first.html HTTP/1.1" 200 992
